timestamp,f1,f2,f3,f4,ax,ay,az,gx,gy,gz,label
1769266668.9104853,0.299,0.0,0.032,0.47,0.494,0.328,0.844,-0.009,-0.138,-0.138,Hello
1769266668.9104853,0.305,0.0,0.032,0.47,0.495,0.328,0.834,-0.07,-0.144,-0.132,Hello
1769266668.9104853,0.309,0.0,0.032,0.47,0.499,0.327,0.837,-0.053,-0.078,-0.101,Hello
1769266669.018435,0.311,0.0,0.032,0.47,0.497,0.326,0.838,-0.022,-0.025,-0.067,Hello
1769266669.0187595,0.313,0.0,0.032,0.47,0.498,0.326,0.839,-0.015,-0.013,-0.03,Hello
1769266669.1123235,0.317,0.0,0.032,0.47,0.497,0.327,0.837,0.023,0.052,-0.018,Hello
1769266669.1123235,0.317,0.0,0.031,0.47,0.499,0.327,0.839,0.011,-0.011,-0.001,Hello
1769266669.2230406,0.317,0.0,0.031,0.47,0.501,0.327,0.84,0.012,0.093,0.011,Hello
1769266669.2230406,0.317,0.0,0.032,0.47,0.496,0.327,0.846,0.046,0.078,0.001,Hello
1769266669.322717,0.318,0.0,0.032,0.47,0.511,0.324,0.855,-0.009,0.051,0.063,Hello
1769266669.322717,0.318,0.0,0.033,0.47,0.522,0.336,0.866,0.053,0.303,0.02,Hello
1769266669.3294907,0.318,0.0,0.032,0.47,0.497,0.359,0.873,-0.072,0.369,-0.059,Hello
1769266669.4329023,0.32,0.0,0.031,0.47,0.478,0.355,0.887,-0.386,-0.044,-0.013,Hello
1769266674.7543726,0.326,0.0,0.033,0.47,0.427,0.335,0.844,-0.125,-0.086,0.041,Hello
1769266675.4443128,0.32,0.0,0.033,0.47,-0.045,0.248,1.113,-0.089,-0.101,0.186,Hello
1769266692.3307679,0.326,0.0,0.034,0.47,0.573,0.307,0.775,-0.107,-0.032,0.358,Hello
1769266692.3749447,0.332,0.0,0.034,0.471,0.555,0.31,0.782,-0.111,-0.077,0.217,Hello
1769266699.9195056,0.342,0.0,0.035,0.471,0.311,0.152,0.936,0.238,0.131,0.124,Hello
1769266699.9656732,0.341,0.0,0.036,0.471,0.297,0.139,0.976,0.128,-0.169,0.086,Hello
1769266704.653647,0.345,0.0,0.036,0.471,-0.098,0.394,0.916,-0.075,0.071,0.05,Hello
1769266713.0152013,0.346,0.0,0.036,0.471,-0.005,0.207,0.981,-0.233,0.085,-0.048,Hello
1769266725.2977312,0.335,0.0,0.037,0.471,0.479,0.32,0.835,-0.045,0.129,-0.233,Hello
1769266729.544283,0.331,0.0,0.035,0.471,0.484,0.357,0.83,0.151,0.041,0.276,Hello
1769266729.6130853,0.331,0.0,0.035,0.471,0.469,0.358,0.821,0.106,-0.05,0.197,Hello
1769266729.6312463,0.337,0.0,0.035,0.471,0.47,0.351,0.833,-0.031,0.083,0.064,Hello
1769266729.7078388,0.335,0.0,0.035,0.471,0.477,0.353,0.83,-0.0,0.326,0.052,Hello
1769266729.7224405,0.334,0.0,0.035,0.471,0.459,0.353,0.851,-0.085,0.226,-0.003,Hello
1769266729.8525615,0.335,0.0,0.035,0.471,0.46,0.355,0.847,-0.056,0.242,0.048,Hello
1769266730.1409729,0.334,0.0,0.036,0.471,0.458,0.295,0.877,0.139,0.171,0.165,Hello
1769266730.2157385,0.335,0.0,0.036,0.471,0.447,0.299,0.887,0.106,0.258,0.118,Hello
1769266730.275191,0.335,0.0,0.035,0.47,0.441,0.323,0.867,0.067,0.055,-0.042,Hello
1769266730.325848,0.334,0.0,0.035,0.47,0.445,0.323,0.871,0.056,0.181,-0.102,Hello
1769266730.364274,0.341,0.0,0.036,0.47,0.441,0.328,0.875,-0.006,0.076,-0.104,Hello
1769266730.4117713,0.338,0.0,0.036,0.47,0.436,0.343,0.879,-0.067,0.181,-0.015,Hello
1769266730.4542608,0.336,0.0,0.036,0.47,0.432,0.346,0.881,-0.025,0.178,0.063,Hello
1769266730.5536203,0.335,0.0,0.036,0.471,0.403,0.333,0.886,0.022,0.237,0.179,Hello
1769266730.6226795,0.336,0.0,0.036,0.471,0.417,0.33,0.879,-0.058,0.178,0.165,Hello
1769266730.6440854,0.337,0.0,0.036,0.47,0.413,0.328,0.888,-0.05,0.2,0.186,Hello
1769266730.7285624,0.335,0.0,0.036,0.47,0.397,0.329,0.903,0.023,-0.095,0.143,Hello
1769266730.7303488,0.33,0.0,0.037,0.47,0.409,0.329,0.903,0.088,-0.151,0.166,Hello
1769266731.2410898,0.334,0.0,0.036,0.47,0.488,0.294,0.807,-0.002,-0.274,0.073,Hello
1769266731.2874324,0.335,0.0,0.036,0.47,0.502,0.287,0.803,0.037,-0.335,-0.111,Hello
1769266731.3326411,0.336,0.0,0.036,0.47,0.511,0.289,0.826,0.076,-0.075,-0.253,Hello
1769266731.3785348,0.334,0.0,0.036,0.47,0.525,0.298,0.837,0.077,-0.006,-0.279,Hello
1769266731.443999,0.333,0.0,0.036,0.47,0.524,0.307,0.853,-0.023,0.092,-0.276,Hello
1769266731.6872728,0.335,0.0,0.036,0.471,0.5,0.3,0.855,-0.069,0.035,-0.165,Hello
1769266731.6872728,0.336,0.0,0.036,0.47,0.487,0.292,0.843,-0.0,-0.095,-0.236,Hello
1769266731.743834,0.335,0.0,0.036,0.47,0.486,0.329,0.854,0.104,0.24,-0.066,Hello
1769266731.7964215,0.332,0.0,0.036,0.471,0.502,0.355,0.846,0.058,0.24,-0.038,Hello
1769266731.8520136,0.334,0.0,0.036,0.471,0.503,0.374,0.855,-0.057,0.3,0.08,Hello
